DCA License Number,License Type,License Expiration Date,License Status,License Creation Date,Industry,Business Name,Business Name 2,Address Building,Address Street Name,Secondary Address Street Name,Address City,Address State,Address ZIP,Contact Phone Number,Address Borough,Borough Code,Community Board,Council District,BIN,BBL,NTA,Census Tract,Detail,Longitude,Latitude,Location
1472636-DCA,Business,2020-05-01,Active,2013-08-29,Employment Agency,HELPWELL EMPLOYMENT AGENCY INC.,,9889,QUEENS BLVD,,REGO PARK,NY,11374,6463183539,Queens,4.0,406.0,29.0,4050525,4021050001,QN17,71304.0,,-73.85533583334406,40.72755895985637,"(40.72755895985637, -73.85533583334407)"
1006768-DCA,Business,2020-04-30,Active,2012-04-26,Tow Truck Company,JIMMY'S FIX A DENT INC.,FIX A DENT AUTO BODY,10,VAN ST,,STATEN ISLAND,NY,10310,7184477777,Staten Island,5.0,501.0,49.0,5005161,5001870141,SI22,13302.0,"Active Plate Numbers:  5432, 7318",-74.11989036435584,40.640416137036794,"(40.6404161370368, -74.11989036435585)"
2038159-DCA,Business,2018-05-01,Inactive,2016-05-24,Employment Agency,OHLSSON MANAGEMENT LLC,,54,W 40TH ST,,NEW YORK,NY,10018,9173254950,Manhattan,1.0,105.0,4.0,1016057,1008410080,MN17,84.0,,-73.98353429832709,40.75290860580911,"(40.75290860580911, -73.9835342983271)"
1383723-DCA,Business,2013-01-31,Inactive,2011-03-01,Debt Collection Agency,ATLAS SETTLEMENT INC.,,12,JEFFERSON BLVD,,STATEN ISLAND,NY,10312,7183566536,Staten Island,5.0,503.0,51.0,5095605,5062570019,SI01,17005.0,,-74.17790014055787,40.540877519805775,"(40.540877519805775, -74.17790014055788)"
2032912-DCA,Business,2020-05-01,Active,2016-02-01,Employment Agency,GOLDEN ROSE EMPLOYMENT AGENCY INC,,381,TROY AVE,,BROOKLYN,NY,11213,9179724527,Brooklyn,3.0,309.0,35.0,3038219,3014180007,BK63,355.0,,-73.93699197320483,40.66533733835211,"(40.66533733835211, -73.93699197320483)"
2007275-DCA,Business,2017-03-15,Inactive,2014-05-01,Dealer In Products,BEDFORD MEDICAL SUPPLY INC.,EXTRA CARE PHARMACY,2036,BEDFORD AVE,,BROOKLYN,NY,11226,7184622273,Brooklyn,3.0,314.0,40.0,3116207,3050640053,BK60,79602.0,,-73.9562905461044,40.65485574043736,"(40.65485574043736, -73.95629054610441)"
1406771-DCA,Business,2021-03-31,Active,2011-09-06,Garage,GREENLUX PARKING LLC,,200,N END AVE,,NEW YORK,NY,10282,2126869800,Manhattan,1.0,101.0,1.0,1087847,1000160520,MN25,31703.0,"Vehicle Spaces: 62, Bicycle Spaces: 6",-74.01507141650073,40.71618948222723,"(40.71618948222723, -74.01507141650073)"
2046793-DCA,Business,2021-07-31,Active,2016-12-23,Secondhand Dealer - Auto,AUTO VAULT INC.,,161,MARION ST,,STATEN ISLAND,NY,10310,,Staten Island,5.0,501.0,49.0,5094708,5002360084,SI22,141.0,,-74.12789701763207,40.629274640734074,"(40.62927464073407, -74.12789701763207)"
2014360-DCA,Business,2017-03-31,Inactive,2014-10-07,Garage,EHTE PARKING CORP,,357,E 57TH ST,,NEW YORK,NY,10022,2128381629,Manhattan,1.0,106.0,5.0,1040014,1013507501,MN19,108.0,"Vehicle Spaces: 75, Bicycle Spaces: 7",-73.96369436876498,40.75864332432004,"(40.75864332432004, -73.96369436876499)"
2013853-DCA,Business,2016-05-01,Inactive,2014-09-24,Employment Agency,"Cole Riley Agency, Inc.",,18,WEST 18TH ST,,NEW YORK,NY,10011,,Manhattan,1.0,102.0,3.0,1010404,1006030028,MN13,54.0,,-74.00857293305177,40.7311298660903,"(40.7311298660903, -74.00857293305177)"
1420662-DCA,Business,2016-02-28,Inactive,2012-02-29,Process Serving Agency,"21ST CENTURY PROCESS SERVING, LLC",,182,MORNINGSTAR RD,,STATEN ISLAND,NY,10303,3472191737,Staten Island,5.0,501.0,49.0,5026596,5011520105,SI12,239.0,,-74.14618246569826,40.63351276373154,"(40.63351276373154, -74.14618246569826)"
1304957-DCA,Business,2019-03-31,Inactive,2013-03-06,Garage,"QUIK PARK BROOKLYN BRIDGE, LLC",,360,FURMAN ST,,BROOKLYN,NY,11201,212-832-2066,Brooklyn,3.0,302.0,33.0,3393008,3002450501,BK09,7.0,"Vehicle Spaces: 312, Bicycle Spaces: 21",-73.99948793452384,40.693397942265975,"(40.693397942265975, -73.99948793452384)"
1291722-DCA,Business,2015-03-31,Inactive,2013-04-15,Garage,"COVE CAR PARK, LLC",,3085,VERNON BLVD,,ASTORIA,NY,11102,2122216111,Queens,4.0,401.0,22.0,4000000,4005040501,QN71,81.0,"Vehicle Spaces: 73, Bicycle Spaces: 7",-73.93483162139627,40.76987856811654,"(40.76987856811654, -73.93483162139626)"
2084816-DCA,Business,2019-05-26,Inactive,2019-04-18,Amusement Device Temporary,WONDERLAND MIDWAY CORP.,,1305,HYLAN BLVD,,STATEN ISLAND,NY,10305,7189136654,Staten Island,5.0,502.0,50.0,5107505,5032150001,SI36,9601.0,"Device Name(s):  EXPO WHEEL, ALIBABBA, ROUND UP, KITE FLYER, TEA CUP, BUMPER CARS, JUMPIN STAR, JITTER BUG, CAROUSEL, HAPPY SWING, JUNIOR JET",-74.08523681559629,40.597128715118934,"(40.59712871511894, -74.0852368155963)"
1264260-DCA,Business,2014-04-30,Inactive,2012-05-01,Tow Truck Company,FIELD FIRE CONTRACTING CORPORATION,,217,FORDHAM ST,,BRONX,NY,10464,8005167224,Bronx,2.0,210.0,13.0,2082684,2056440261,BX10,516.0,,-73.78363757613937,40.84789673367479,"(40.84789673367479, -73.78363757613937)"
1422823-DCA,Business,2021-03-31,Active,2012-03-28,Garage,KAYLEE OPERATING LLC,,148,MADISON AVE,,NEW YORK,NY,10016,6469644323,Manhattan,1.0,105.0,3.0,1017000,1008610064,MN17,74.0,"Vehicle Spaces: 66, Bicycle Spaces: 7",-73.98401230579405,40.746335001990225,"(40.74633500199023, -73.98401230579405)"
1323814-DCA,Business,2015-01-31,Inactive,2012-08-07,Debt Collection Agency,BUREAUS INVESTMENT GROUP PORTFOLIO NO. 8 LLC,,1717,CENTRAL ST,,EVANSTON,IL,60201,8473284300,Outside NYC,,,,,,,,,-77.51958437167269,40.112385336598024,"(40.11238533659802, -77.51958437167269)"
1465754-DCA,Business,2018-04-30,Inactive,2013-05-22,Tow Truck Company,HIGH CLASS AUTO BODY & REPAIR SHOP INC.,,3033,ATLANTIC AVE,,BROOKLYN,NY,11208,7182773174,Brooklyn,3.0,305.0,37.0,3088077,3039560023,BK82,1168.0,"Active Plate Numbers:  6989, 7710",-73.88262608857745,40.67854375961834,"(40.67854375961834, -73.88262608857745)"
2081781-DCA,Business,2021-03-15,Active,2019-01-30,Dealer In Products,ALBERT YAKUBOV,AFFINITY PHARMACY,7307,MAIN ST,,FLUSHING,NY,11367,7188981548,Queens,4.0,408.0,24.0,4144134,4066630001,QN37,77907.0,,-73.82070395638594,40.724567856028415,"(40.724567856028415, -73.82070395638593)"
1387778-DCA,Business,2015-03-15,Inactive,2011-04-14,Amusement Device Portable,KIDDIE-UP EXPRESS INC,AARDVARK AMUSEMENTS & ENTERTAINMENT/ MOON WALK,2765,86TH ST,,BROOKLYN,NY,11223,7182654444,Brooklyn,3.0,315.0,47.0,3319842,3071410001,BK26,386.0,Device Name: AARDVARK AMUSEMENTS & ENTERTAINMENT/ MOON WALK,-73.98021409065545,40.59371115538032,"(40.59371115538032, -73.98021409065545)"
0511641-DCA,Business,2015-06-28,Inactive,2013-01-03,Bingo Game Operator,YESHIVA R'TZAHD PARENTS ASSOCIATION,,22034,JAMAICA AVE,,QUEENS VLG,NY,11428,7182728484,Queens,4.0,413.0,27.0,4438821,4107890271,QN34,568.0,,-73.73389309182012,40.71918213786539,"(40.71918213786539, -73.73389309182012)"
2069562-DCA,Business,2020-03-15,Active,2018-04-17,Amusement Device Portable,"CARNIVAL GUYS NY, INC.",,73,BEARD ST,,STATEN ISLAND,NY,10314,718-877-0854,Staten Island,5.0,502.0,50.0,5037763,5023710149,SI24,27704.0,Device Name: 18FT DRY SLIDE,-74.1499569876538,40.58644558626793,"(40.58644558626793, -74.1499569876538)"
0993927-DCA,Business,2019-03-31,Inactive,2011-08-18,Parking Lot,MADISON SQUARE PARKING CORP.,,359,9TH AVE,,NEW YORK,NY,10001,2122216111,Manhattan,1.0,,,,,MN13,103.0,"Vehicle Spaces: 40, Bicycle Spaces:",-77.51958437167269,40.112385336598024,"(40.11238533659802, -77.51958437167269)"
2069910-DCA,Business,2021-03-31,Active,2018-04-23,Garage,FT. GREENE & GOLD GARAGE LLC.,,343,GOLD ST,,BROOKLYN,NY,11201,2126869800,Brooklyn,3.0,302.0,35.0,3393888,3020490002,BK38,15.0,"Vehicle Spaces: 252, Bicycle Spaces: 21",-73.98328914866872,40.69422565026851,"(40.694225650268514, -73.98328914866872)"
1467723-DCA,Business,2018-06-15,Inactive,2013-09-24,Auction House Premises,JUBAO AUCTION CORP.,,13620,ROOSEVELT AVE,,FLUSHING,NY,11354,9178811647,Queens,4.0,407.0,20.0,4113546,4050190005,QN22,853.0,,-73.82923633167887,40.75978506574562,"(40.75978506574562, -73.82923633167887)"
1447253-DCA,Business,2014-04-30,Inactive,2012-10-04,Pawnbroker,"FRANKIE'S 5 ANGELS VARIETY STORE, LLC",,1362,SAINT JOHNS PL,,BROOKLYN,NY,11213,3474136003,Brooklyn,3.0,308.0,36.0,3037057,3013840014,BK61,351.0,,-73.93297830861499,40.67068464223181,"(40.67068464223181, -73.932978308615)"
1386654-DCA,Business,2017-09-30,Inactive,2011-04-04,Garage,"2000 PARKING GARAGE, INC.",,2000,WHITE PLAINS RD,,BRONX,NY,10462,3478435023,Bronx,2.0,211.0,15.0,2047884,2042570020,BX37,230.0,"Vehicle Spaces: 100, Bicycle Spaces: 10",-73.86780342933534,40.85015652935889,"(40.85015652935889, -73.86780342933534)"
2047664-DCA,Business,2019-03-15,Inactive,2017-01-25,Dealer In Products,GERRITSEN MEDCARE INC,,2628B,GERRITSEN AVE,,BROOKLYN,NY,11229,3145623264,Brooklyn,3.0,315.0,46.0,,,BK17,628.0,,-73.9270594506029,40.59456255571894,"(40.59456255571894, -73.9270594506029)"
1389816-DCA,Business,2011-12-31,Inactive,2011-07-18,Laundry Jobber,PROSPECT DRY CLEANERS INC.,,830,E 163RD ST,,BRONX,NY,10459,7185427943,Bronx,2.0,203.0,17.0,2005012,2026770070,BX35,133.0,,-73.9011245402461,40.82222402725849,"(40.822224027258486, -73.90112454024609)"
1392313-DCA,Business,2015-12-31,Inactive,2011-05-18,Laundry Jobber,"BANDO SERVICE, INC.",TOWER WEST CLEANERS,1400,5TH AVE,,NEW YORK,NY,10026,2123480329,Manhattan,1.0,110.0,9.0,1086518,1015990501,MN11,190.0,,-73.94684037039518,40.80015914885864,"(40.80015914885864, -73.94684037039517)"
0883295-DCA,Business,2020-04-30,Active,2012-03-26,Tow Truck Company,"DAVIDOVITZ, MICHAEL",RISHON TOWING,1060,MCDONALD AVE,,BROOKLYN,NY,11230,7188547474,Brooklyn,3.0,312.0,44.0,3129125,3054520039,BK88,476.0,Active Plate Numbers:  5617,-73.97660507575303,40.62768828853544,"(40.62768828853544, -73.97660507575303)"
2088261-DCA,Business,2019-08-04,Inactive,2019-07-15,Amusement Device Temporary,"ALL COUNTY AMUSEMENTS, INC.",,15820,101ST ST,,HOWARD BEACH,NY,11414,6312772481,Queens,4.0,410.0,32.0,4295194,4141700001,QN57,884.0,"Device Name(s):  SLIDE (NON MECH), KIDSTOWN (NON MECH), HI ROLLER, PARATROPPER, DIZZY DRAGON, TORNADO, JETSON, GRAVITRON, SIZZLER, BOUNCE, GO GATOR, ZIPPER",-73.83274648533174,40.66142324798445,"(40.66142324798445, -73.83274648533173)"
1339015-DCA,Business,2012-11-01,Inactive,2011-10-14,Pedicab Business,RICKSHAW BIKES INC.,,615,W 135TH ST,,NEW YORK,NY,10031,6462204703,Manhattan,1.0,109.0,7.0,1059955,1020020022,MN06,22301.0,,-73.95617085854276,40.82057557696884,"(40.820575576968835, -73.95617085854276)"
1386179-DCA,Business,2017-12-31,Inactive,2011-03-30,Laundry Jobber,"MADISON HILL CLEANERS, INC.",,1350,MADISON AVE,,NEW YORK,NY,10128,2129967494,Manhattan,1.0,108.0,4.0,1047403,1015060018,MN40,16001.0,,-73.9547705601534,40.786414179595525,"(40.78641417959552, -73.9547705601534)"
1451691-DCA,Business,2014-04-30,Inactive,2012-12-06,Pawnbroker,CITYWIDE PAWN INC.,,1316,41ST ST,,BROOKLYN,NY,11218,7184375393,Brooklyn,3.0,312.0,39.0,3135722,3055940011,BK88,232.0,,-73.986880883074,40.639146665208095,"(40.63914666520809, -73.986880883074)"
1405289-DCA,Business,2016-05-01,Inactive,2011-08-22,Employment Agency,"PA FOR A DAY, LLC",,40,EXCHANGE PL,,NEW YORK,NY,10005,9172734532,Manhattan,1.0,101.0,1.0,1000825,1000250027,MN25,9.0,,-74.01028291064266,40.705938321966826,"(40.705938321966826, -74.01028291064266)"
2081012-DCA,Business,2019-10-31,Active,2018-12-31,Car Wash,"DIANA SUPER FLEX CAR WASH, INC",,24818,SUNRISE HWY,,ROSEDALE,NY,11422,7189490578,Queens,4.0,413.0,31.0,4289473,4136230019,,,,-73.72936785873996,40.66533817957284,"(40.665338179572835, -73.72936785873995)"
1422820-DCA,Business,2019-03-31,Inactive,2012-04-02,Garage,"355 EAST 76TH GARAGE, LLC.",BANNER GARAGE,355,E 76TH ST,,NEW YORK,NY,10021,2124865106,Manhattan,1.0,108.0,5.0,1045173,1014510017,MN31,134.0,"Vehicle Spaces: 260, Bicycle Spaces: 20",-73.9552035278928,40.77085992746439,"(40.77085992746439, -73.95520352789282)"
1465685-DCA,Business,2021-07-31,Active,2013-05-22,Secondhand Dealer - Auto,RACEWAY MOTORS INC.,,421,BUSHWICK AVE,,BROOKLYN,NY,11206,7184840888,Brooklyn,3.0,301.0,34.0,3000000,3031170001,BK78,485.0,,-73.93737487411154,40.702861331939616,"(40.70286133193962, -73.93737487411155)"
2012886-DCA,Business,2018-11-01,Inactive,2014-09-04,Pedicab Business,"TAOUSAR, YACINE",,1710,BROADWAY,,NEW YORK,NY,10019,9178186445,Manhattan,1.0,105.0,4.0,1024850,1010260021,MN17,137.0,Active Sticker Numbers:  1859,-73.98239076286045,40.764225017528844,"(40.76422501752884, -73.98239076286046)"
1418542-DCA,Business,2014-04-30,Inactive,2012-01-31,Pawnbroker,JM WHOLESALE CORP.,JM GOLD BUYERS,3309,FULTON ST,,BROOKLYN,NY,11208,7328017741,Brooklyn,3.0,305.0,37.0,3092213,3041290060,BK83,117602.0,,-73.87346322671739,40.683296233576044,"(40.683296233576044, -73.87346322671739)"
2037458-DCA,Business,2020-04-30,Active,2016-05-11,Tow Truck Company,ENTOURAGE AUTOMOTIVE CORP,,1451,FERRIS PL,,BRONX,NY,10461,9297779749,Bronx,2.0,210.0,13.0,2027292,2038570003,BX59,96.0,"Active Plate Numbers:  8197, 8208, 6892",-73.84194426942489,40.83964469101829,"(40.83964469101829, -73.84194426942489)"
1449654-DCA,Business,2015-01-31,Inactive,2012-11-08,Debt Collection Agency,"INTEGRITY SOLUTION SERVICES, INC.",,200,E CAMPUS VIEW BLVD,,COLUMBUS,OH,43235,6365307985,Outside NYC,,,,,,,,,-77.51958437167269,40.112385336598024,"(40.11238533659802, -77.51958437167269)"
1473295-DCA,Business,2017-12-31,Inactive,2013-09-10,Laundry Jobber,NEW SUNRISE DRY CLEANERS INC,,2112,CORTELYOU RD,,BROOKLYN,NY,11226,718-856-9333,Brooklyn,3.0,314.0,40.0,3345680,3051640009,BK42,51602.0,,-73.95833001980867,40.6439514730094,"(40.643951473009395, -73.95833001980867)"
2025065-DCA,Business,2015-07-31,Inactive,2015-06-30,Secondhand Dealer - Auto,"PITASO AUTO REPAIR, CORP",,1680,JEROME AVE,,BRONX,NY,10453,7182943700,Bronx,2.0,205.0,14.0,2008154,2028480012,BX41,22701.0,,-73.91332703954058,40.84631870013981,"(40.84631870013981, -73.91332703954058)"
2080341-DCA,Business,2019-11-01,Active,2018-11-30,Pedicab Business,"MARTINEZ LINARES, MARCO",,15039,HORACE HARDING EXPY,,FLUSHING,NY,11367,9177326616,Queens,4.0,407.0,20.0,4141282,4064340032,QN62,837.0,Active Sticker Numbers:  2421,-73.81908777326012,40.740476703311664,"(40.740476703311664, -73.81908777326012)"
1391492-DCA,Business,2014-04-30,Inactive,2013-06-26,Tow Truck Company,CITYWIDE TOWING AND AUTO REPAIR SERVICES LLC,,521,W 38TH ST,,NEW YORK,NY,10018,2122444420,Manhattan,1.0,104.0,3.0,0,1000000000,MN13,117.0,"Active Plate Numbers:  6259, 5955",-73.99828906505213,40.757540155787524,"(40.75754015578752, -73.99828906505212)"
1392362-DCA,Business,2013-03-15,Inactive,2011-05-18,Dealer In Products,IG MEDICAL SUPPLY LLC,,2329,STEINWAY ST,,ASTORIA,NY,11105,7187778080,Queens,4.0,401.0,22.0,4530097,4007930063,QN72,137.0,,-73.90880082521144,40.77059649510325,"(40.77059649510325, -73.90880082521143)"
2083258-DCA,Business,2019-11-01,Active,2019-03-15,Pedicab Business,ULUC MURAT,,2323,AVENUE Y,,BROOKLYN,NY,11235,3475228244,Brooklyn,3.0,315.0,48.0,3203345,3074220432,BK17,59401.0,Active Sticker Numbers:  1684,-73.94657841749263,40.59099132371314,"(40.59099132371314, -73.94657841749262)"
2001467-DCA,Business,2021-03-31,Active,2013-12-10,Garage,SP PLUS CORPORATION,,688,MAIN ST,,NEW YORK,NY,10044,212-502-5490,Manhattan,1.0,108.0,5.0,1083211,1013730001,MN31,23802.0,"Vehicle Spaces: 710, Bicycle Spaces: 25",-73.9464601035681,40.765501206899756,"(40.76550120689976, -73.9464601035681)"
2053019-DCA,Business,2021-03-31,Active,2017-05-16,Garage,COLUMBUS 95 PARKING LLC,,730,COLUMBUS AVE,,NEW YORK,NY,10025,2126869800,Manhattan,1.0,107.0,6.0,1082743,1012260029,MN12,181.0,"Vehicle Spaces: 44, Bicycle Spaces: 0",-73.96770984810344,40.7926271142759,"(40.792627114275895, -73.96770984810344)"
2035006-DCA,Business,2018-03-15,Inactive,2016-03-25,Amusement Device Permanent,LI'L SASSY ANNE INC.,,3025,W 12TH ST,,BROOKLYN,NY,11224,9175302069,Brooklyn,3.0,313.0,47.0,3326895,3086960140,BK21,352.0,Device Name: BUMPER CARS,-73.97963291619757,40.5748872047701,"(40.5748872047701, -73.97963291619756)"
1396171-DCA,Business,2013-12-31,Inactive,2011-06-10,Laundry Jobber,ANGEL BRIGHT INC.,,4746,30TH ST,,LONG IS CITY,NY,11101,7183616181,Queens,4.0,402.0,26.0,4000776,4001150181,QN31,1.0,,-73.93783569613355,40.74242179002058,"(40.74242179002058, -73.93783569613355)"
1417320-DCA,Business,2012-12-31,Inactive,2012-01-11,Games of Chance,"HEDGE FUNDS CARE, INC.",,70,W 36TH ST,,NEW YORK,NY,10018,2129919600,Manhattan,1.0,105.0,3.0,1015916,1008370501,MN17,84.0,Type of Game: Raffles,-73.9860721005395,40.75074333523983,"(40.750743335239825, -73.9860721005395)"
1391833-DCA,Business,2013-01-31,Inactive,2011-05-12,Debt Collection Agency,"LIEB AT LAW, P.C.",,376,MAIN ST,,CENTER MORICHES,NY,11934,6318784455,Outside NYC,,,,,,,,,-77.51958437167269,40.112385336598024,"(40.11238533659802, -77.51958437167269)"
0832988-DCA,Business,2016-04-30,Inactive,2012-03-29,Tow Truck Company,AMERICAL COLLISION INC.,,247,27TH ST,,BROOKLYN,NY,11232,7187883815,Brooklyn,3.0,307.0,38.0,3009694,3006580040,BK32,101.0,"Active Plate Numbers:  7362, 7674, 5828",-73.9975527468729,40.658380083868266,"(40.658380083868266, -73.9975527468729)"
1439647-DCA,Business,2012-09-03,Inactive,2012-08-30,Amusement Device Temporary,"ALL COUNTY FAMILY AMUSEMENTS, INC",,7119,80TH ST,,GLENDALE,NY,11385,5163692228,Queens,4.0,405.0,30.0,4439862,4038100350,QN19,637.0,,-73.86942759208269,40.70775586820215,"(40.70775586820215, -73.86942759208269)"
2019845-DCA,Business,2021-03-31,Active,2015-03-23,Garage,W 155 Operating LLC,,400,W 155TH ST,,NEW YORK,NY,10032,212-685-8314,Manhattan,1.0,109.0,9.0,1000000,1020690021,MN04,23501.0,"Vehicle Spaces: 68, Bicycle Spaces: 7",-73.94050689878313,40.83051541051173,"(40.83051541051173, -73.94050689878313)"
2016359-DCA,Business,2018-04-30,Inactive,2014-12-11,Tow Truck Company,Impressive AutoTowing Inc,,5953,56TH DR,,MASPETH,NY,11378,7186824289,Queens,4.0,405.0,30.0,4059996,4026900108,QN30,531.0,Active Plate Numbers:  8181,-73.90708611397821,40.7238959447101,"(40.7238959447101, -73.90708611397822)"
1443349-DCA,Business,2017-12-31,Inactive,2012-08-31,Laundry Jobber,J.L. CLEANERS INC.,,7525,153RD ST,,FLUSHING,NY,11367,6462294936,Queens,4.0,408.0,24.0,4531846,4068090001,QN37,77908.0,,-73.81378095678556,40.72573437089984,"(40.72573437089984, -73.81378095678556)"
1381283-DCA,Business,2015-01-31,Inactive,2011-01-21,Debt Collection Agency,"LAW OFFICES OF ANTHONY J. MAIOCCHI, PLLC",,22,SAW MILL RIVER RD,,HAWTHORNE,NY,10532,9143472300,Outside NYC,,,,,,,,,-77.51958437167269,40.112385336598024,"(40.11238533659802, -77.51958437167269)"
1460723-DCA,Business,2021-03-31,Active,2013-03-26,Garage,ENTERPRISE WASHINGTON GARAGE LLC,,545,WASHINGTON AVE,,BROOKLYN,NY,11238,2125643199,Brooklyn,3.0,302.0,35.0,3397606,3020130503,BK69,201.0,"Vehicle Spaces: 67, Bicycle Spaces:",-73.96454018958664,40.68186444299882,"(40.68186444299882, -73.96454018958664)"
2033461-DCA,Business,2020-02-28,Active,2016-02-19,Process Serving Agency,"A&M ACCUSERVICE, INC",,2444,78TH ST,,EAST ELMHURST,NY,11370,347-893-9037,Queens,4.0,403.0,22.0,4022774,4010410030,QN28,30904.0,,-73.89062367395209,40.76363921878248,"(40.76363921878248, -73.8906236739521)"
1473641-DCA,Business,2015-07-31,Inactive,2013-09-19,Secondhand Dealer - Auto,PARAGON AUTO REPAIR AND AUTO SALES INC.,,2020,EASTERN PKWY,,BROOKLYN,NY,11207,7184557500,Brooklyn,3.0,304.0,37.0,3080531,3034720106,BK78,405.0,,-73.90534075496994,40.680159403270395,"(40.680159403270395, -73.90534075496993)"
2020506-DCA,Business,2019-11-01,Active,2015-04-06,Pedicab Business,"HALIMHOJA, TOSHKHOJAEV",,3255,SHORE PKWY,,BROOKLYN,NY,11235,9172516839,Brooklyn,3.0,315.0,48.0,3204905,3074580036,BK17,606.0,Active Sticker Numbers:  2106,-73.95514058571656,40.58559596210925,"(40.58559596210925, -73.95514058571656)"
2064652-DCA,Business,2021-01-31,Active,2018-01-09,Debt Collection Agency,TATA CONSULTANCY SERVICES (PHILIPPINES) INC.,,PANORAMA TOWER,34TH STREET CORNER LANE A,BONIFACIO GLOBAL  CITY,TAGUIG CITY,PH,1634,+63454559600,Outside NYC,,101.0,1.0,1000812,1000220020,,,,-74.01290870587448,40.70627017391471,"(40.70627017391471, -74.01290870587448)"
2067858-DCA,Business,2019-03-15,Inactive,2018-03-15,Amusement Device Permanent,"NY CAROUSEL ENTERTAINMENT, LLC",RIDE ENTERTAINMENT PARKS AND ATTRACTIONS,15,CAROUSEL WAY,,CORONA,NY,11368,7187882676,Queens,4.0,481.0,21.0,4540095,4020180001,QN99,38302.0,Device Name: PYTHON PIT ROLLERCOASTER,-73.84937126908919,40.74379753008417,"(40.74379753008417, -73.84937126908919)"
1450321-DCA,Business,2020-02-28,Active,2012-11-19,Process Serving Agency,FIRST CLASS PROCESS SERVICE LLC,,3251,3RD AVE,,BRONX,NY,10456,6469266660,Bronx,2.0,203.0,17.0,2001229,2023680043,BX35,185.0,,-73.908698573204,40.824113149647495,"(40.82411314964749, -73.90869857320402)"
2012643-DCA,Business,2014-09-28,Inactive,2014-08-28,Special Sale,ELECTRONIC OUTLET OF FULTON STREET INC,,366,FULTON ST,,BROOKLYN,NY,11201,7189359142,Brooklyn,3.0,302.0,33.0,3000424,3001540014,BK38,37.0,,-73.98785498992737,40.69165437428175,"(40.69165437428175, -73.98785498992737)"
2009731-DCA,Business,2017-07-31,Inactive,2014-06-18,Secondhand Dealer - Auto,"KING OF QUEENS AUTOMOTIVE, LLC",,3803,21ST ST,,LONG ISLAND CITY,NY,11101,,Queens,4.0,401.0,26.0,4004736,4003910013,QN68,33.0,,-73.9392331328537,40.75731554054883,"(40.75731554054883, -73.9392331328537)"
2021681-DCA,Business,2020-03-15,Active,2015-04-24,Amusement Device Permanent,BOMBAY AMUSEMENT INC.,FUN STATION USA,3555,VICTORY BLVD,,STATEN ISLAND,NY,10314,7183700077,Staten Island,5.0,502.0,50.0,5036682,5021620192,SI05,29103.0,Device Name: EL PASO TRAIN RIDE,-74.17641135061086,40.601122912471894,"(40.60112291247189, -74.17641135061086)"
2014440-DCA,Business,2021-01-31,Active,2014-10-09,Debt Collection Agency,Citi GSM Portfolio LLC,,390,GREENWICH ST,,NEW YORK,NY,10013,2127236766,Manhattan,1.0,101.0,1.0,1002813,1002160001,MN24,39.0,,-74.0101120072072,40.720584384985095,"(40.72058438498509, -74.0101120072072)"
2046173-DCA,Business,2021-03-31,Active,2016-12-05,Garage,250 W. 50TH PARKING LLC,,250,W 50TH ST,,NEW YORK,NY,10019,2126869800,Manhattan,1.0,105.0,3.0,1085498,1010210001,MN17,125.0,"Vehicle Spaces: 120, Bicycle Spaces: 12",-73.98503376979151,40.761829230965745,"(40.76182923096574, -73.98503376979151)"
1172020-DCA,Business,2018-03-15,Inactive,2013-02-08,Amusement Device Portable,SEND IN THE CLOWNS ENTERTAINMENT CORP.,BIG SLIDE,50,NASSAU TERMINAL RD,,NEW HYDE PARK,NY,11040,5163541515,Outside NYC,,,,,,,,Device Name: BIG SLIDE,-77.51958437167269,40.112385336598024,"(40.11238533659802, -77.51958437167269)"
1382347-DCA,Business,2011-12-31,Inactive,2011-02-09,Laundry Jobber,CLEANERS NETWORK USA INC.,,3511,QUEENS BLVD,,LONG IS CITY,NY,11101,7187298147,Queens,4.0,402.0,26.0,4003167,4002220048,QN31,179.0,,-73.92962005359189,40.74443719939025,"(40.74443719939025, -73.92962005359189)"
2037703-DCA,Business,2020-03-15,Active,2016-05-17,Amusement Device Portable,WONDERLAND MIDWAY CORP.,,8320,13TH AVE,,BROOKLYN,NY,11228,7189289920,Brooklyn,3.0,310.0,43.0,3164316,3063080044,BK30,148.0,Device Name: SUPER SLIDE,-74.01230767080396,40.6156293966971,"(40.6156293966971, -74.01230767080396)"
2056505-DCA,Business,2017-08-31,Inactive,2017-08-01,Special Sale,PB & LF STORES LLC,KARMA,370,FULTON ST,,BROOKLYN,NY,11201,2122397380,Brooklyn,3.0,302.0,33.0,3000425,3001540015,BK38,37.0,,-73.98776124096601,40.69161593758016,"(40.69161593758016, -73.98776124096601)"
2067818-DCA,Business,2019-10-31,Active,2018-03-15,Car Wash,"TREMONT CAR WASH AND LUBE, LLC",,1095,E TREMONT AVE,,BRONX,NY,10460,7188289300,Bronx,2.0,206.0,15.0,2042420,2040030040,BX17,220.0,,-73.877834545178,40.83998471752562,"(40.83998471752562, -73.877834545178)"
